City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,edinburgh of the seven seas,-37.0676,-12.3116,53.83,72,100,9.37,SH,1697532210
42,papao,-17.75,-149.55,76.68,84,43,18.23,PF,1697532360
43,mapimi,25.8167,-103.85,58.42,62,0,4.29,MX,1697532361
44,turka,49.1541,23.0297,44.8,62,100,0.69,UA,1697532363
45,ormara,25.2088,64.6357,80.85,79,98,14.34,PK,1697532364
46,queenstown,-31.8976,26.8753,59.38,61,92,5.84,ZA,1697532365
47,boa esperanca,-21.09,-45.5658,70.12,75,48,2.8,BR,1697532366
48,hithadhoo,-0.6,73.0833,82.09,67,62,13.2,MV,1697532367
49,punta arenas,-53.15,-70.9167,42.91,81,20,16.11,CL,1697532369
50,myeik,12.4333,98.6,82.02,82,100,2.71,MM,1697532370
51,det udom,14.906,105.0784,85.82,77,100,9.28,TH,1697532371
52,happy valley-goose bay,53.3168,-60.3315,30.51,86,20,5.75,CA,1697532373
53,invercargill,-46.4,168.35,45.01,74,40,4.0,NZ,1697532374
54,al bayda',32.7627,21.7551,72.93,50,1,12.26,LY,1697532375
55,olonkinbyen,70.9221,-8.7187,31.41,77,100,15.19,SJ,1697532376
56,albertina,-22.2008,-46.6158,64.67,86,94,4.14,BR,1697532378
57,yellowknife,62.456,-114.3525,36.41,100,0,4.61,CA,1697532379
58,el bolson,-41.9667,-71.5167,32.49,95,8,2.15,AR,1697532380
59,grand falls-windsor,48.9332,-55.6649,38.5,91,100,1.99,CA,1697532381
60,dudinka,69.4058,86.1778,31.68,98,79,5.99,RU,1697532383
61,blackmans bay,-43.0167,147.3167,53.73,75,11,1.61,AU,1697532384
62,college,64.8569,-147.8028,38.07,81,75,5.75,US,1697532285
63,quelimane,-17.8786,36.8883,73.35,100,75,5.99,MZ,1697532387
64,isafjordur,66.0755,-23.124,39.24,75,100,8.05,IS,1697532389
65,albany,42.6001,-73.9662,50.41,85,100,3.58,US,1697532219
66,nar'yan-mar,67.6713,53.087,34.11,89,81,8.99,RU,1697532393
67,vorgashor,67.5833,63.95,36.3,93,100,7.11,RU,1697532394
68,tanaina,61.6269,-149.4281,45.32,74,100,3.44,US,1697532395
69,sosnovka,56.255,51.2842,53.53,42,100,21.16,RU,1697532397
70,pervomayskoye,43.919,46.7102,54.88,46,100,18.52,RU,1697532398
71,zemio,5.0314,25.1361,84.63,59,90,3.11,CF,1697532400
72,corabia,43.7833,24.5,45.18,30,100,5.84,RO,1697532401
73,hawaiian paradise park,19.5933,-154.9731,74.03,92,75,5.75,US,1697532402
74,aswan,24.0934,32.907,81.7,32,0,10.36,EG,1697532403
75,vadso,70.0744,29.7487,36.48,75,20,12.66,NO,1697532404
76,wenling,28.3669,121.36,69.44,71,0,5.88,CN,1697532405
77,talnakh,69.4865,88.3972,31.21,97,100,5.12,RU,1697532407
78,chernyshevskiy,63.0128,112.4714,29.88,97,98,5.06,RU,1697532408
79,edson,53.5835,-116.4356,37.54,87,75,1.14,CA,1697532306
80,port macquarie,-31.4333,152.9167,62.89,65,69,16.53,AU,1697532339
81,avarua,-21.2078,-159.775,71.65,73,20,6.91,CK,1697532413
82,stanley,54.868,-1.6985,40.51,100,75,1.14,GB,1697532414
83,papatowai,-46.5619,169.4708,41.68,70,10,7.96,NZ,1697532415
84,acarau,-2.8856,-40.12,77.9,77,12,15.3,BR,1697532416
85,wailua homesteads,22.0669,-159.378,77.79,88,75,8.05,US,1697532418
86,qaqortoq,60.7167,-46.0333,31.87,86,100,3.4,GL,1697532419
87,arraial do cabo,-22.9661,-42.0278,73.36,94,75,4.61,BR,1697532420
88,thompson,55.7435,-97.8558,41.16,100,100,3.44,CA,1697532141
89,neiafu,-18.65,-173.9833,75.49,76,69,24.87,TO,1697532424
90,iqaluit,63.7506,-68.5145,20.93,73,75,4.61,CA,1697532214
91,kirensk,57.7853,108.1119,39.02,95,100,8.01,RU,1697532427
92,cabedelo,-6.9811,-34.8339,70.47,73,8,9.01,BR,1697532360
93,togur,58.3631,82.8265,52.14,78,98,8.01,RU,1697532430
94,norrtalje,59.758,18.705,46.02,73,80,8.19,SE,1697532171
95,broken hill,-31.95,141.4333,64.69,23,0,11.25,AU,1697532432
96,bandarbeyla,9.4942,50.8122,84.88,65,45,11.05,SO,1697532434
97,pacific grove,36.6177,-121.9166,60.24,91,0,1.01,US,1697532404
98,santa vitoria,-18.8386,-50.1214,81.28,44,70,4.54,BR,1697532243
99,arkhangel'sk,64.5401,40.5433,39.13,78,100,5.99,RU,1697532438
100,kodiak,57.79,-152.4072,42.31,100,100,4.61,US,1697532439
101,trondheim,63.4305,10.3951,48.29,95,100,1.99,NO,1697532440
102,uturoa,-16.7333,-151.4333,78.67,79,50,14.16,PF,1697532441
103,chigorodo,7.6664,-76.6811,73.54,98,94,2.51,CO,1697532442
104,san clemente del tuyu,-36.3569,-56.7235,49.98,94,3,19.46,AR,1697532444
105,hamilton,39.1834,-84.5333,52.23,86,100,8.05,US,1697532026
106,crane,31.3974,-102.3501,59.07,43,0,8.79,US,1697532446
107,yazd,31.8972,54.3675,80.71,22,40,6.91,IR,1697532447
108,manay,7.215,126.5397,81.09,85,66,2.13,PH,1697532449
109,arno,60.1167,18.6333,40.78,68,82,8.68,SE,1697532450
110,sinabang,2.4803,96.3801,78.13,84,100,1.34,ID,1697532451
111,aldinga beach,-35.2793,138.4604,64.76,65,29,10.22,AU,1697532452
112,bilibino,68.0546,166.4372,4.96,99,100,1.66,RU,1697532454
113,vicente noble,18.3844,-71.1801,76.08,87,22,1.23,DO,1697532455
114,thurso,58.5927,-3.5259,50.86,83,48,7.74,GB,1697532456
115,piskivka,50.6938,29.6193,47.03,51,10,11.9,UA,1697532457
116,feijo,-8.1642,-70.3536,72.18,91,97,1.59,BR,1697532460
